rentree_scolaire;code_region;region;code_de_l_academie;academie;code_du_departement;departement;code_insee_de_la_commune;nom_de_la_commune;uai;secteur;ips;ips_national_prive;ips_national_public;ips_national;ips_academique_prive;ips_academique_public;ips_academique;ips_departemental_prive;ips_departemental_public;ips_departemental;num_ligne;appellation_officielle;libelle_commune;code_departement;code_commune;libelle_departement;libelle_academie;position
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59067;BERGUES;0593773F;privé sous contrat;121.2;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49628.0;Ecole primaire privée Sainte Thérèse;Bergues;059;59067;Nord;Lille;50.97023779954485,2.4288606586321673
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59299;HEM;0593810W;privé sous contrat;130.9;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49645.0;Ecole primaire privée Sainte Thérèse;Hem;059;59299;Nord;Lille;50.66327175339676,3.1865799639562877
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59328;LAMBERSART;0593819F;privé sous contrat;129.2;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49650.0;Ecole primaire privée Sainte Odile;Lambersart;059;59328;Nord;Lille;50.637510710773505,3.027070382794614
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59275;GRUSON;0594025E;privé sous contrat;128.4;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49730.0;Ecole primaire privée Notre-Dame de La Visitation;Gruson;059;59275;Nord;Lille;50.59683888266597,3.206059615537879
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59421;MOUVAUX;0594045B;privé sous contrat;134.0;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49742.0;Ecole primaire privée Sacré-Coeur-Saint Paul;Mouvaux;059;59421;Nord;Lille;50.70334998334158,3.147719808916699
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59471;PRESEAU;0594052J;privé sous contrat;117.7;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49747.0;Ecole primaire privée Sainte Thérèse de L'Enfant-Jésus;Préseau;059;59471;Nord;Lille;50.30746648845037,3.573629546039782
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59481;LE QUESNOY;0594054L;privé sous contrat;128.1;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49749.0;Ecole primaire privée Sainte Thérèse de L'Enfant-Jésus;Le Quesnoy;059;59481;Nord;Lille;50.24770490177619,3.632800154104245
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59599;TOURCOING;0594104R;privé sous contrat;94.0;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49769.0;Ecole primaire privée Saint Christophe;Tourcoing;059;59599;Nord;Lille;50.72225130340233,3.1674606587114784
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59624;VILLERS OUTREAUX;0594127R;privé sous contrat;104.1;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49781.0;Ecole primaire privée Saint Joseph;Villers-Outréaux;059;59624;Nord;Lille;50.031010331541495,3.2992201388454943
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59207;ESCAUTPONT;0594187F;public;70.1;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49804.0;Ecole élémentaire Brunehaut;Escautpont;059;59207;Nord;Lille;50.41458962129092,3.560069950534956
