Rentrée scolaire;Code région;Région;Code de l'académie;Académie;Code du département;Département;Code INSEE de la commune;Nom de la commune;UAI;Nom de l'établissement;Secteur;IPS;IPS national privé;IPS national public;IPS national;IPS académique privé;IPS académique public;IPS académique;IPS départemental privé;IPS départemental public;IPS départemental;num_ligne
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59106;BOUVINES;0590708Z;ECOLE PRIMAIRE LEONARD DE VINCI;public;121.8;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16768.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59109;BRILLON;0590712D;ECOLE PRIMAIRE DES FRESNELLES;public;121.5;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16769.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59110;BROUCKERQUE;0590714F;ECOLE PRIMAIRE AU BOURG;public;108.3;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16770.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59111;BROXEELE;0590715G;ECOLE PRIMAIRE;public;NS;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16771.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59112;BRUAY SUR L ESCAUT;0590716H;ECOLE ELEMENTAIRE EMILE ZOLA;public;75.6;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16772.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59112;BRUAY SUR L ESCAUT;0590717J;ECOLE ELEMENTAIRE LEO LAGRANGE;public;82.1;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16773.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59144;CHATEAU L ABBAYE;0590731Z;ECOLE PRIMAIRE JEAN DE LA FONTAINE;public;109.3;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16774.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59115;BRUNEMONT;0590733B;ECOLE PRIMAIRE VALMUSE;public;103.4;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16775.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59118;BUSIGNY;0590738G;ECOLE ELEMENTAIRE JACQUES PREVERT;public;81.3;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16776.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59118;BUSIGNY;0590739H;ECOLE PRIMAIRE CLAUDE BERNARD;public;NS;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16777.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59121;CAGNONCLES;0590747S;ECOLE PRIMAIRE DU BOUTON D OR;public;NS;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16778.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59122;CAMBRAI;0590756B;ECOLE ELEMENTAIRE FERDINAND BUISSON;public;76.3;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16779.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59122;CAMBRAI;0590769R;ECOLE ELEMENTAIRE RAYMOND GERNEZ;public;74.2;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16780.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59122;CAMBRAI;0590771T;ECOLE PRIMAIRE JACQUES BREL;public;90.5;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16781.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59125;CANTAING SUR ESCAUT;0590779B;ECOLE PRIMAIRE REGROUPEMENT PEDAGOGIQUE INTERCOMMUNAL CONCENTRE (RPC) DE CANTAING SUR ESCAUT;public;104.8;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16782.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59128;CAPINGHEM;0590783F;ECOLE PRIMAIRE LUCIE AUBRAC;public;126.6;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16783.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59131;CAPPELLE LA GRANDE;0590788L;ECOLE ELEMENTAIRE DU CRAYHOF;public;91.7;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16784.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59131;CAPPELLE LA GRANDE;0590789M;ECOLE ELEMENTAIRE JOLIOT CURIE;public;91.8;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16785.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59131;CAPPELLE LA GRANDE;0590792R;GROUPE SCOLAIRE JEAN JAURES;public;83.4;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16786.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59134;CARTIGNIES;0590798X;ECOLE PRIMAIRE MERESSE;public;95.8;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16787.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59138;CATTENIERES;0590812M;ECOLE PRIMAIRE DES CHATAIGNIERS;public;95.2;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16788.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59139;CAUDRY;0590818U;ECOLE ELEMENTAIRE CONDORCET;public;68.2;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16789.0
